Código,Categoría,Producto,Precio,Stock
P001,Abarrotes,Arroz,4.50,20
P002,Abarrotes,Azúcar,5.00,15
P003,Abarrotes,Aceite,12.50,10
P004,Lácteos,Leche,4.20,18
P005,Abarrotes,Fideos,2.80,25
P006,Bebidas,Inca Kola 500ml,3.50,30
P007,Bebidas,Coca Cola 500ml,3.50,30
P008,Snacks,Galletas Oreo,2.00,20
P009,Conservas,Atún en lata,6.50,12
P010,Higiene,Papel higiénico,3.00,16
P011,Bebidas,Agua mineral,1.50,24
P012,Snacks,Chocolate Sublime,1.50,35
P013,Limpieza,Jabón Bolívar,2.50,14
P014,Limpieza,Detergente Bolívar,8.00,10
P015,Abarrotes,Sal de mesa,1.20,18
P016,Bebidas,Jugo Frugos,2.50,20
P017,Bebidas,Pepsi 500ml,3.50,18
P018,Snacks,Chizitos,1.50,22
P019,Snacks,Papas Lays,2.50,17
P020,Lácteos,Yogurt Gloria,3.20,12
P021,Limpieza,Lejía Sapolio,4.00,8
P022,Higiene,Pasta Dental Colgate,5.50,10
